Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
SE_landbasedwind_class4_moderate_70_3,1,0.0,0.0,105300.98594399501,105300.98594399501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.224366368693963e8,2.788780600981305e8,0.3023276059855975,0.0
SE_landbasedwind_class4_moderate_70_4,1,0.0,0.0,95535.98495768779,95535.98495768779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.368952282293451e8,3.113097151046208e8,0.3719817064356694,0.0
SE_landbasedwind_class4_moderate_70_5,1,0.0,0.0,79806.99033078038,79806.99033078038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.991092352976362e8,2.4245843034604383e8,0.3468105098666312,0.0
SE_landbasedwind_class4_moderate_70_6,1,0.0,0.0,117167.99443199762,117167.99443199762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0263916312242992e9,4.227887574530616e8,0.41191758057180494,0.0
SE_landbasedwind_class4_moderate_70_7,1,0.0,0.0,66200.99133388393,66200.99133388393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799206840848231e8,2.004412338447396e8,0.34563560042880226,0.0
SE_landbasedwind_class4_moderate_70_8,1,0.0,0.0,102848.98290953487,102848.98290953487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.009570902875254e8,3.0743479118658334e8,0.3412313355439277,0.0
MIDAT_landbasedwind_class4_moderate_70_1,2,0.0,0.0,1383.9972215564808,1383.9972215564808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2123815660834773e7,4.587642839599977e6,0.3783992571266215,0.0
MIDAT_landbasedwind_class4_moderate_70_2,2,0.0,0.0,25175.993012090297,25175.993012090297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20541698785911e8,6.933780859907879e7,0.3143977260571838,0.0
MIDAT_landbasedwind_class4_moderate_70_3,2,0.0,0.0,10378.992653987378,10378.992653987378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091997564892943e7,2.804524876303993e7,0.3084608037218514,0.0
MIDAT_landbasedwind_class4_moderate_70_4,2,0.0,0.0,94296.96942844396,94296.96942844396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.260414521931691e8,2.3028407473257837e8,0.27878028895664503,0.0
MIDAT_landbasedwind_class4_moderate_70_5,2,0.0,0.0,9.525803921663332,9.525803921663332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83446.04235377078,18107.459681601555,0.21699602726315886,0.0
MIDAT_landbasedwind_class4_moderate_70_6,2,0.0,0.0,86256.9936924443,86256.9936924443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55611264745812e8,2.6184635957223567e8,0.3465358072187038,0.0
MIDAT_landbasedwind_class4_moderate_70_7,2,0.0,0.0,42062.991159271114,42062.991159271114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6847180255521494e8,1.095643306026983e8,0.29734793773339074,0.0
NE_landbasedwind_class4_moderate_70_1,3,0.0,0.0,6840.994057432229,6840.994057432229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.992710794310632e7,1.9078560419240676e7,0.31836277561322507,0.0
NE_landbasedwind_class4_moderate_70_2,3,0.0,0.0,10959.993911559131,10959.993911559131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.600954666525799e7,3.4293408953168824e7,0.35718748962261515,0.0
NE_landbasedwind_class4_moderate_70_3,3,0.0,0.0,65323.992608770845,65323.992608770845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.722381752528327e8,1.9715064155294165e8,0.3445254966882179,0.0
NE_landbasedwind_class4_moderate_70_4,3,0.0,0.0,17701.99041001757,17701.99041001757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550694359917539e8,4.737387439761443e7,0.30550104277243656,0.0
NE_landbasedwind_class4_moderate_70_5,3,0.0,0.0,4.170155112308688,4.170155112308688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36530.558783824104,7467.059817336156,0.20440584721202248,0.0
NE_landbasedwind_class4_moderate_70_6,3,0.0,0.0,1110.9963526162016,1110.9963526162016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.732328048917927e6,3.5009040013997373e6,0.35971907068925607,0.0
NE_landbasedwind_class4_moderate_70_7,3,0.0,0.0,13216.984126402778,13216.984126402778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1578078094728833e8,3.0880283110789843e7,0.2667133772819234,0.0
Total,n/a,325671.816,44527.55776111644,7.946988932227254e6,8.228133190466138e6,0.0,0.0,1.4253397179164113e7,1.4253397179164113e7,0.0,0.0,0.0,0.0,7.207844674848337e10,2.2300643242827816e10,-,2.3442597815344515e8
